price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,location,property_age
47993419,3071,3,3,3,yes,yes,no,no,yes,2,no,semi-furnished,Defence Colony,2
23118832,2735,3,2,1,no,no,no,no,yes,3,no,semi-furnished,Indiranagar,18
58029883,2787,3,3,4,yes,yes,no,no,yes,1,no,semi-furnished,Boat Club,1
27108365,2479,3,2,2,no,no,no,no,no,1,yes,furnished,South Mumbai,27
24676696,3003,3,3,1,yes,yes,no,yes,yes,3,no,furnished,Banjara Hills,29
54383433,2956,3,3,2,yes,yes,no,no,yes,3,yes,unfurnished,Poes Garden,8
27489062,2852,3,3,2,yes,yes,no,no,yes,3,no,furnished,Gachibowli,15
23315825,1713,2,2,2,yes,no,no,no,yes,0,no,unfurnished,Vasant Vihar,14
49990741,4385,5,5,3,yes,no,no,yes,yes,2,no,semi-furnished,Cyber City,1
32222906,2586,3,3,4,yes,yes,no,no,yes,2,no,semi-furnished,Alipore,15
56975589,4589,5,5,3,yes,yes,no,yes,yes,3,no,semi-furnished,Banjara Hills,1
37217756,3685,4,4,3,yes,yes,yes,no,yes,3,no,unfurnished,Gachibowli,7
29673068,3020,3,3,3,yes,yes,yes,no,yes,3,yes,semi-furnished,Gachibowli,17
34742970,3654,4,4,3,yes,yes,yes,no,yes,2,no,unfurnished,Koregaon Park,23
76314516,4656,5,5,3,yes,yes,no,no,no,3,yes,furnished,Boat Club,15
35608506,2887,3,3,2,yes,yes,no,no,yes,2,no,semi-furnished,Defence Colony,16
27132057,2982,3,3,2,yes,yes,yes,no,yes,2,no,unfurnished,Dwarka,3
36390253,3017,3,2,4,yes,yes,no,no,yes,3,no,semi-furnished,Jayanagar,1
19290564,3098,3,3,2,yes,yes,yes,no,no,2,no,semi-furnished,Dwarka,20
17945343,2674,3,2,2,yes,yes,yes,no,yes,3,no,unfurnished,Salt Lake,23
51795967,2920,3,2,2,no,yes,no,yes,yes,3,no,semi-furnished,Boat Club,6
37635056,2842,3,3,1,yes,yes,no,no,yes,2,no,furnished,Jayanagar,0
24818725,2881,3,3,1,yes,no,no,no,yes,2,no,furnished,Salt Lake,11
50741495,5303,6,5,2,yes,no,no,no,yes,2,no,semi-furnished,Banjara Hills,18
25598527,2822,3,3,3,yes,yes,yes,no,yes,3,no,semi-furnished,Powai,24
18988434,1691,2,1,2,no,no,no,no,no,1,no,furnished,Cyber City,5
52442535,5246,6,5,3,yes,yes,yes,no,yes,3,no,unfurnished,Indiranagar,15
34467900,3586,4,4,2,no,yes,no,yes,yes,2,yes,furnished,Jayanagar,19
43284238,3083,3,3,3,yes,yes,yes,no,yes,3,no,semi-furnished,Jubilee Hills,4
49781167,2634,3,3,4,yes,no,yes,no,yes,3,no,furnished,South Mumbai,13
39406257,3861,4,3,2,no,yes,no,no,yes,3,no,furnished,Indiranagar,12
31839625,2538,3,2,1,no,yes,yes,no,yes,2,no,semi-furnished,Hauz Khas,11
32657393,2610,3,2,2,no,no,no,no,yes,3,no,semi-furnished,Boat Club,20
25327991,2767,3,3,3,yes,no,no,no,yes,1,no,unfurnished,Koramangala,17
43088199,2773,3,3,4,yes,no,no,no,yes,2,yes,semi-furnished,Juhu,13
32632608,3021,3,3,2,no,no,no,no,yes,3,yes,semi-furnished,Defence Colony,22
59780090,4387,5,4,2,yes,yes,no,no,yes,3,yes,unfurnished,Juhu,19
35303425,2568,3,2,3,yes,yes,no,no,yes,3,yes,semi-furnished,Greater Kailash,10
58803995,3465,4,4,2,no,yes,no,no,yes,3,yes,furnished,Boat Club,17
36159300,2963,3,3,1,yes,yes,no,no,yes,3,yes,unfurnished,Cyber City,8
24823833,2700,3,2,3,yes,yes,no,no,yes,3,no,semi-furnished,Andheri West,16
27647624,2855,3,2,3,no,yes,no,no,yes,2,yes,furnished,Hauz Khas,26
43164782,3767,4,4,4,yes,yes,no,no,yes,3,no,semi-furnished,Juhu,26
32052837,3148,3,3,1,no,yes,no,no,yes,3,no,semi-furnished,Adyar,9
46967976,4474,5,4,3,yes,yes,no,no,yes,3,no,unfurnished,Hauz Khas,19
14910975,2372,3,2,2,yes,no,no,yes,no,1,yes,furnished,Dwarka,22
23722936,2999,3,3,4,yes,yes,no,no,yes,3,no,furnished,Salt Lake,18
46903966,3714,4,4,3,yes,yes,no,no,no,2,no,furnished,Hauz Khas,8
28712525,3652,4,3,2,yes,no,no,no,yes,3,no,semi-furnished,Adyar,23
37991513,3463,4,3,3,yes,no,no,no,yes,2,yes,furnished,Powai,16
26762542,3131,3,3,2,yes,yes,yes,no,yes,2,no,furnished,Koramangala,28
42682369,3726,4,3,2,yes,yes,yes,no,yes,1,no,furnished,Vasant Vihar,29
19155860,2887,3,3,1,yes,yes,yes,no,yes,2,no,unfurnished,Dwarka,20
31409105,2868,3,2,2,yes,yes,yes,no,yes,3,no,semi-furnished,Jubilee Hills,18
19167848,2296,2,2,4,yes,no,no,no,no,2,no,semi-furnished,Cyber City,15
44501846,3273,3,3,4,yes,yes,yes,no,yes,3,yes,furnished,Poes Garden,28
41469990,4712,5,5,4,yes,yes,no,no,yes,3,yes,unfurnished,HITEC City,24
67003631,3527,4,4,2,yes,yes,no,no,yes,1,no,semi-furnished,South Mumbai,6
31018793,2867,3,3,2,yes,yes,no,yes,yes,2,yes,furnished,Koregaon Park,23
34992437,2990,3,3,1,no,no,no,yes,yes,2,yes,furnished,Koregaon Park,13
41143926,3270,4,3,3,yes,yes,no,no,yes,1,no,unfurnished,Bandra West,11
51382187,5278,6,5,2,yes,yes,no,no,yes,3,yes,semi-furnished,Andheri West,13
45195223,3993,4,4,4,yes,yes,yes,no,yes,3,no,furnished,Andheri West,3
40542463,3187,3,3,4,yes,no,yes,no,yes,2,no,furnished,Cyber City,1
30713012,1669,2,1,1,yes,no,no,yes,no,0,yes,semi-furnished,Defence Colony,1
17879303,2950,3,2,2,no,no,yes,no,yes,3,no,semi-furnished,HITEC City,29
23411626,1803,2,2,1,no,no,no,no,yes,2,no,semi-furnished,Defence Colony,11
23961701,2848,3,3,2,yes,no,no,no,yes,3,no,furnished,Gachibowli,19
41424501,3888,4,4,2,yes,yes,no,yes,no,3,yes,semi-furnished,Indiranagar,13
42665566,4343,5,4,2,yes,yes,no,no,yes,1,yes,unfurnished,Whitefield,5
34441272,3737,4,3,4,yes,yes,no,yes,yes,3,yes,furnished,Salt Lake,11
10889281,2036,2,2,3,no,no,no,no,yes,2,no,semi-furnished,Koregaon Park,28
23198615,3105,3,3,2,yes,yes,no,no,yes,2,no,furnished,Cyber City,29
44951968,4593,5,5,2,yes,no,no,no,yes,2,no,furnished,Anna Nagar,14
35578178,5363,6,5,3,yes,yes,no,no,no,3,no,semi-furnished,Salt Lake,23
72768160,3369,4,4,4,yes,yes,no,no,yes,1,no,furnished,South Mumbai,0
44420681,3336,4,3,3,yes,yes,no,no,yes,2,no,furnished,Vasant Vihar,22
35133181,3917,4,4,3,yes,yes,no,no,yes,2,yes,semi-furnished,HITEC City,23
29529991,3100,3,3,1,yes,yes,yes,no,yes,3,no,semi-furnished,Gachibowli,14
42080456,2948,3,3,1,yes,yes,no,no,yes,2,no,furnished,Vasant Vihar,18
43719630,3874,4,4,2,yes,yes,yes,no,yes,2,yes,semi-furnished,Bandra West,25
10863132,2075,2,1,3,yes,no,no,no,yes,2,no,semi-furnished,HITEC City,28
23748478,3790,4,4,2,yes,no,no,no,yes,1,yes,unfurnished,Salt Lake,27
29681480,3682,4,3,2,yes,no,no,no,yes,1,no,unfurnished,Whitefield,12
49022428,2855,3,3,3,no,yes,no,no,yes,3,no,semi-furnished,Boat Club,9
38394374,2471,3,2,2,yes,no,yes,no,no,2,yes,furnished,Koramangala,0
17219581,1718,2,2,1,no,no,yes,no,no,0,no,unfurnished,HITEC City,6
28653958,2118,2,2,2,no,no,yes,no,yes,2,yes,furnished,Juhu,21
39337472,2732,3,3,4,yes,yes,yes,no,yes,1,yes,semi-furnished,Boat Club,26
19234332,1898,2,2,4,no,no,no,no,no,1,yes,furnished,Hauz Khas,18
27048502,3567,4,4,2,yes,yes,yes,no,yes,3,no,semi-furnished,Andheri West,29
53111065,3804,4,4,3,yes,yes,no,no,yes,2,yes,unfurnished,Koregaon Park,0
50078457,3259,4,4,3,yes,no,no,no,yes,1,yes,semi-furnished,Hauz Khas,1
60889127,5424,6,5,3,yes,yes,no,no,yes,2,no,unfurnished,Indiranagar,1
40642343,3015,3,3,2,yes,yes,no,no,yes,3,yes,semi-furnished,Adyar,0
34259313,3534,4,3,2,yes,yes,yes,no,yes,3,no,furnished,Indiranagar,22
39227173,3502,4,4,2,yes,yes,no,no,yes,1,no,furnished,Defence Colony,23
13562208,2720,3,2,3,yes,yes,no,no,yes,1,no,unfurnished,Salt Lake,29
36470536,3777,4,4,3,yes,yes,no,no,yes,1,no,semi-furnished,Cyber City,15
43642714,3598,4,4,3,yes,no,yes,no,yes,2,yes,furnished,Indiranagar,11
23827390,3103,3,3,4,no,no,no,no,no,2,yes,semi-furnished,Andheri West,19
45945181,4863,5,5,3,yes,yes,no,no,yes,2,no,furnished,Adyar,15
28804287,2821,3,3,1,yes,yes,yes,yes,yes,2,no,furnished,Andheri West,15
31800490,4821,5,5,4,no,yes,no,no,no,3,yes,furnished,Salt Lake,27
50411822,3855,4,4,3,yes,no,no,no,no,2,no,unfurnished,Bandra West,1
46457264,3838,4,4,3,yes,yes,no,no,yes,3,yes,semi-furnished,Jubilee Hills,15
38542491,4519,5,4,2,yes,yes,no,no,no,3,no,furnished,Gachibowli,15
54693396,3714,4,4,4,yes,no,no,no,yes,3,no,semi-furnished,Defence Colony,3
49185498,3595,4,3,2,yes,no,yes,yes,yes,3,yes,furnished,Juhu,22
33734203,2958,3,3,2,yes,yes,no,no,yes,3,no,unfurnished,Kalyani Nagar,7
36193704,2559,3,3,2,yes,yes,no,no,yes,1,yes,semi-furnished,Jayanagar,1
34545951,3824,4,3,3,yes,yes,no,no,yes,3,yes,semi-furnished,Banjara Hills,27
25329716,2578,3,2,3,no,yes,no,no,yes,2,yes,semi-furnished,Salt Lake,7
36151911,2814,3,3,1,yes,yes,no,no,yes,2,yes,semi-furnished,Kalyani Nagar,7
29110287,2606,3,2,1,yes,yes,yes,no,yes,2,yes,unfurnished,Banjara Hills,18
38523919,2829,3,3,2,yes,yes,no,no,yes,3,no,furnished,Greater Kailash,7
54331454,2905,3,3,2,yes,yes,no,no,yes,2,no,semi-furnished,Boat Club,7
30089910,4112,4,4,3,yes,yes,no,no,yes,3,no,semi-furnished,Salt Lake,18
28805771,2584,3,3,3,yes,yes,yes,no,yes,1,no,unfurnished,Jayanagar,9
48253956,2707,3,2,2,yes,yes,no,no,yes,3,yes,furnished,Defence Colony,4
13537416,1824,2,2,2,yes,no,no,no,no,2,yes,unfurnished,Gachibowli,20
68727001,4203,5,4,3,yes,no,no,no,yes,1,yes,semi-furnished,Juhu,4
45619404,2684,3,2,2,yes,yes,yes,no,yes,2,no,furnished,Boat Club,16
27979610,2885,3,3,2,yes,no,no,no,yes,3,yes,unfurnished,Powai,20
42105874,2774,3,2,1,no,yes,no,no,yes,2,yes,semi-furnished,Vasant Vihar,14
24331329,2803,3,3,1,yes,yes,yes,no,no,3,no,furnished,Cyber City,23
69075533,5206,6,5,3,yes,no,no,no,yes,2,no,furnished,Bandra West,5
32905352,2939,3,3,2,yes,yes,no,no,yes,3,no,semi-furnished,Hauz Khas,18
41225812,3933,4,4,2,no,yes,no,no,yes,2,yes,semi-furnished,Indiranagar,14
19995531,2348,3,2,1,no,no,no,no,yes,1,no,unfurnished,Adyar,13
29724717,2973,3,3,3,yes,yes,yes,yes,yes,3,yes,unfurnished,Anna Nagar,21
43607736,2972,3,3,3,yes,yes,no,no,yes,2,yes,unfurnished,Defence Colony,10
24753505,2643,3,2,3,yes,no,no,no,yes,2,no,furnished,Juhu,29
19583307,3047,3,3,1,yes,yes,no,no,yes,2,no,semi-furnished,Whitefield,27
72874936,5495,6,5,4,yes,yes,no,yes,yes,2,yes,semi-furnished,Defence Colony,11
63869716,4577,5,5,4,yes,yes,no,no,yes,3,yes,semi-furnished,Juhu,19
43176849,3118,3,3,1,yes,yes,no,yes,yes,3,no,furnished,Vasant Vihar,20
35210912,3479,4,3,2,yes,no,no,yes,yes,2,no,semi-furnished,Jubilee Hills,17
75346140,4039,5,4,4,yes,yes,no,yes,yes,2,yes,furnished,Poes Garden,5
27517811,1303,2,1,3,yes,no,yes,no,yes,0,no,unfurnished,South Mumbai,9
15623895,2497,3,2,2,no,no,no,no,no,1,yes,semi-furnished,Whitefield,22
16539357,1830,2,1,1,no,yes,no,no,yes,3,no,furnished,HITEC City,18
31518060,2793,3,3,2,no,yes,no,no,yes,3,no,unfurnished,Bandra West,16
74436495,3693,4,4,3,yes,yes,no,yes,yes,2,yes,semi-furnished,South Mumbai,6
37788573,3685,4,4,3,yes,yes,no,no,yes,2,no,furnished,Andheri West,10
36624516,4022,4,4,3,yes,yes,no,no,yes,3,yes,semi-furnished,Jayanagar,22
40455076,3908,4,3,3,yes,no,yes,yes,yes,3,yes,semi-furnished,Cyber City,14
42433093,3272,4,3,3,yes,yes,yes,yes,yes,1,no,unfurnished,Vasant Vihar,20
52839012,3611,4,4,2,yes,no,yes,no,yes,1,no,semi-furnished,Juhu,11
32474168,3047,3,3,3,yes,no,no,no,yes,1,no,furnished,Juhu,25
34389453,3805,4,3,4,yes,yes,no,no,yes,3,no,semi-furnished,Jubilee Hills,26
29952770,2744,3,3,2,yes,no,no,no,yes,3,no,unfurnished,Koregaon Park,13
22576116,2632,3,2,1,yes,yes,yes,yes,no,2,no,unfurnished,Jubilee Hills,22
50104448,3049,3,3,3,no,yes,no,no,yes,2,no,semi-furnished,Vasant Vihar,5
37154783,3580,4,4,4,yes,yes,yes,no,yes,2,no,semi-furnished,Andheri West,10
32977132,3894,4,4,4,yes,yes,yes,no,yes,3,no,furnished,Andheri West,24
9322961,1969,2,2,2,no,no,no,no,no,1,no,semi-furnished,Koregaon Park,25
11093427,1874,2,1,3,yes,no,no,no,no,2,no,unfurnished,Adyar,20
39584525,2664,3,2,2,yes,yes,no,no,yes,3,yes,semi-furnished,Alipore,10
36691903,2745,3,2,4,yes,yes,no,no,yes,3,yes,furnished,Banjara Hills,11
20110398,2801,3,3,1,no,yes,no,no,yes,3,no,unfurnished,Indiranagar,26
19564874,2148,2,2,1,no,no,no,no,no,2,no,furnished,Anna Nagar,12
22440888,3714,4,3,2,yes,no,yes,no,yes,3,no,furnished,Dwarka,26
32677690,2884,3,3,3,yes,yes,no,no,yes,2,yes,semi-furnished,Koramangala,17
51456335,2951,3,3,1,yes,yes,yes,no,yes,1,no,furnished,Vasant Vihar,9
49785295,5030,6,5,3,yes,no,yes,yes,yes,2,no,unfurnished,Cyber City,11
65655164,4666,5,5,4,yes,yes,no,no,yes,3,no,semi-furnished,Bandra West,2
11485820,2309,2,2,4,yes,no,no,no,no,2,no,unfurnished,Gachibowli,24
18042749,1722,2,2,2,yes,no,yes,no,yes,1,no,unfurnished,Juhu,22
45168872,3636,4,3,3,yes,yes,yes,no,yes,3,no,furnished,Koramangala,8
32119573,2847,3,3,1,yes,no,no,no,yes,3,yes,furnished,Kalyani Nagar,15
28373054,2894,3,2,2,yes,yes,yes,no,yes,3,no,unfurnished,Salt Lake,4
28845974,2620,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished,Anna Nagar,12
61273471,4476,5,5,2,yes,yes,yes,no,yes,3,yes,semi-furnished,Banjara Hills,0
30869812,2918,3,3,3,yes,yes,no,no,yes,2,no,semi-furnished,Banjara Hills,15
30548820,4500,5,5,2,yes,yes,no,no,yes,3,yes,furnished,Dwarka,27
51090600,4635,5,5,3,no,yes,no,no,yes,2,no,semi-furnished,Cyber City,1
66469251,4332,5,4,2,yes,yes,no,no,yes,1,yes,furnished,Defence Colony,3
36649113,3232,3,3,3,yes,yes,no,yes,yes,3,no,unfurnished,Indiranagar,7
27300322,3127,3,3,4,yes,yes,yes,no,yes,2,no,semi-furnished,Andheri West,19
36559326,4410,5,5,2,yes,yes,no,no,yes,3,no,furnished,Jayanagar,27
61103085,4752,5,5,4,yes,yes,yes,no,yes,3,no,unfurnished,Hauz Khas,5
56622499,2909,3,2,2,no,yes,yes,no,yes,3,no,furnished,Poes Garden,1
44155754,2805,3,2,2,yes,yes,no,no,no,2,yes,furnished,Hauz Khas,1
41977526,3601,4,4,4,yes,yes,no,no,yes,1,yes,furnished,Alipore,23
28752676,3119,3,3,1,yes,yes,yes,no,yes,2,yes,furnished,Anna Nagar,27
20889023,2832,3,3,2,yes,yes,no,no,no,2,no,furnished,Anna Nagar,26
42958835,3753,4,4,3,no,yes,yes,no,yes,2,yes,furnished,Hauz Khas,21
61418805,4556,5,5,4,yes,yes,no,no,yes,2,no,unfurnished,Juhu,15
38369681,2991,3,3,1,no,yes,yes,no,yes,3,no,semi-furnished,Koregaon Park,6
27311142,2737,3,3,4,yes,yes,no,yes,yes,1,no,furnished,Cyber City,17
40240614,2831,3,2,1,yes,yes,no,yes,yes,3,no,semi-furnished,Koregaon Park,1
35674847,3098,3,3,1,no,yes,no,no,yes,3,no,unfurnished,Vasant Vihar,21
38769345,3872,4,4,4,no,yes,no,no,yes,3,no,semi-furnished,Alipore,22
27078906,2858,3,3,2,no,no,yes,no,yes,2,no,semi-furnished,Koramangala,17
19416955,2830,3,2,2,no,yes,no,no,yes,3,yes,unfurnished,Gachibowli,26
50868761,4717,5,5,3,yes,no,no,no,yes,3,no,furnished,Cyber City,7
32804955,2768,3,3,3,yes,yes,no,no,yes,3,yes,semi-furnished,Hauz Khas,21
12563347,1684,2,2,4,yes,no,no,no,yes,1,yes,furnished,Kalyani Nagar,29
53288407,2966,3,2,1,no,yes,yes,no,yes,3,yes,furnished,Boat Club,14
15731106,1931,2,2,1,no,no,no,no,yes,1,no,unfurnished,Salt Lake,8
26509805,1961,2,2,1,yes,no,no,no,yes,2,no,semi-furnished,Kalyani Nagar,3
35038920,2970,3,3,1,yes,yes,no,no,yes,2,no,furnished,Jayanagar,6
34410907,3390,4,3,4,no,yes,no,no,no,2,no,semi-furnished,Koramangala,10
36812179,3225,4,3,2,yes,no,no,no,yes,1,no,semi-furnished,Indiranagar,6
37965392,3800,4,4,3,yes,no,no,yes,yes,2,no,unfurnished,Indiranagar,12
44352440,2906,3,2,1,yes,yes,no,no,yes,3,no,furnished,Bandra West,5
24582465,3313,3,3,2,yes,yes,yes,no,no,3,no,unfurnished,Whitefield,18
38246350,3641,4,4,3,yes,no,no,no,yes,2,no,furnished,Koregaon Park,17
41792027,5270,6,5,3,yes,no,yes,yes,yes,2,yes,furnished,Gachibowli,28
47094727,3632,4,4,4,yes,no,yes,no,yes,2,no,semi-furnished,Hauz Khas,7
47898702,4840,5,5,3,yes,no,yes,no,yes,2,no,semi-furnished,Adyar,9
26984238,3121,3,3,3,yes,yes,yes,no,yes,3,no,furnished,Whitefield,19
26947401,3156,3,3,2,yes,yes,no,yes,yes,3,yes,semi-furnished,Kalyani Nagar,27
11972295,1913,2,2,2,yes,no,no,no,no,1,yes,unfurnished,Dwarka,18
24266861,2669,3,2,3,yes,no,no,no,yes,3,yes,furnished,Gachibowli,20
63686157,3690,4,4,2,yes,yes,yes,no,yes,3,no,semi-furnished,South Mumbai,15
53322455,3715,4,4,3,yes,yes,yes,no,yes,2,no,semi-furnished,Boat Club,22
